,GDP: GCF: Gross Fixed Capital Formation (GFCF)
Region,South Korea
Subnational,
Frequency,"Annual, ending ""Dec"" of each year"
Unit,KRW bn
Source,The Bank of Korea
Status,Active
Series ID,354238837 (KAZAJKBAAAAAEY)
SR Code,SR7081091
Mnemonic,KR.GDPGCFFIX.NM.KRW-BN-Q
Function Description,AGGREGATE(Yearly; December; Sum; No)
First Obs. Date,1960
Last Obs. Date,2019
Last Update Time,01/06/2020
Series remarks,
Suggestions,
Mean,157496.9116666667
Variance,33754999884.106476
Standard Deviation,183725.3381657154
Skewness,0.9449205692058593
Kurtosis,-0.39376653362272984
Coefficient Variation,1.166532957513222
Min,28
Max,578456.8999999999
Median,64526.350000000006
No. of Obs,60
1960,28
1961,35.4
1962,50.6
1963,70.2
1964,85.7
1965,126.8
1966,217.3
1967,290.3
1968,441.1
1969,588.8
1970,722.9
1971,803.1
1972,915.7
1973,1344.4
1974,2151.1
1975,2871.3
1976,3818.9
1977,5451.3
1978,8435.3
1979,11170.4
1980,13059.2
1981,14427.3
1982,17015.1
1983,20611.9
1984,23348
1985,25999.7
1986,30281.8
1987,36784.2
1988,44724.7
1989,54178.6
1990,74874.1
1991,94479.3
1992,102710.9
1993,114783.8
1994,135604
1995,162201
1996,184057.7
1997,193212.2
1998,165286.4
1999,177394
2000,206895.2
2001,217426.3
2002,238400.7
2003,261796.5
2004,281905.8
2005,291799.9
2006,306642.5
2007,328571.6
2008,357759.5
2009,372055.7
2010,399785.9
2011,418824.7
2012,425613.8
2013,436628
2014,452590.1
2015,481001.7
2016,517349.9
2017,578456.9
2018,576587.1
2019,575070.4
