year,GDP: sa: GFCF: Construction (CS),GDP: sa: GFCF: CS: Buildings,GDP: sa: GFCF: CS: Buildings: Residential Building,GDP: sa: GFCF: CS: Buildings: Non Residential Building,GDP: sa: GFCF: CS: Civil Engineering,GDP: sa: GFCF: Facilities Investment (FI),GDP: sa: GFCF: FI: Transport Equipment,GDP: sa: GFCF: FI: Machinery & Equipment,GDP: sa: GFCF: Intellectual Property Products (IPP),GDP: sa: GFCF: IPP: Research & Experiemental Dev.,GDP: sa: GFCF: IPP: Other IPP
1970,,,,,,,,,,,
1970,,,,,,,,,,,
1970,,,,,,,,,,,
1970,492,311.1,165.9,145.4,180.9,214,89.6,124.4,16.9,9.1,7.9
1971,,,,,,,,,,,
1971,,,,,,,,,,,
1971,,,,,,,,,,,
1971,498.4,298.9,166,132.7,199.6,284.7,120.6,164,20,10.3,9.6
1972,,,,,,,,,,,
1972,,,,,,,,,,,
1972,,,,,,,,,,,
1972,536,304.3,155.5,148.7,231.6,355.9,159.7,196.1,23.7,12.6,11.1
1973,,,,,,,,,,,
1973,,,,,,,,,,,
1973,,,,,,,,,,,
1973,764.3,487.5,236.7,250.8,276.8,550.1,225.3,324.8,30,16.5,13.7
1974,,,,,,,,,,,
1974,,,,,,,,,,,
1974,,,,,,,,,,,
1974,1199,831.2,511.3,320,367.7,909.2,461.7,447.4,42.9,24.3,18.6
1975,,,,,,,,,,,
1975,,,,,,,,,,,
1975,,,,,,,,,,,
1975,1580.9,1026.9,627.9,399,553.9,1225.5,579.7,645.8,64.8,39.7,25.1
1976,,,,,,,,,,,
1976,,,,,,,,,,,
1976,,,,,,,,,,,
1976,1972.6,1245.7,705.9,539.9,727,1754.2,734.4,1019.9,91.9,54.9,37.1
1977,,,,,,,,,,,
1977,,,,,,,,,,,
1977,,,,,,,,,,,
1977,2768.6,1660.7,967.4,693.3,1107.9,2540.9,822.1,1718.7,141.8,91.7,50.1
1978,,,,,,,,,,,
1978,,,,,,,,,,,
1978,,,,,,,,,,,
1978,4150.2,2691.9,1568.4,1123.7,1458.3,4074.4,1173.6,2900.7,210.7,141.7,69.1
1979,,,,,,,,,,,
1979,,,,,,,,,,,
1979,,,,,,,,,,,
1979,5486.9,3367.4,1812.7,1554.6,2119.6,5403.5,1372.2,4031.4,279.9,182.9,97
1980,,,,,,,,,,,
1980,,,,,,,,,,,
1980,,,,,,,,,,,
1980,7015.3,4073,2228.1,1844.9,2942.4,5670,1730.1,3939.9,373.8,244.7,129.1
1981,,,,,,,,,,,
1981,,,,,,,,,,,
1981,,,,,,,,,,,
1981,7426.1,3850.2,2035,1815.4,3575.8,6512.4,2245.3,4267.1,489,327,161.9
1982,,,,,,,,,,,
1982,,,,,,,,,,,
1982,,,,,,,,,,,
1982,9123.1,4802.5,2667.1,2135.4,4320.6,7193.4,2282.7,4910.5,698.8,522.4,176.4
1983,,,,,,,,,,,
1983,,,,,,,,,,,
1983,,,,,,,,,,,
1983,11507,6609.5,3668.8,2940.6,4897.5,8313.2,2736.9,5576.4,791.6,591.2,200.7
1984,,,,,,,,,,,
1984,,,,,,,,,,,
1984,,,,,,,,,,,
1984,12716.1,7214.7,3469,3745.7,5501.5,9624.6,3224.1,6400.5,1007.3,745.1,262.2
1985,,,,,,,,,,,
1985,,,,,,,,,,,
1985,,,,,,,,,,,
1985,13691.7,7269.3,3589.5,3679.6,6422.4,10968.9,3640.8,7328,1339.2,950.6,388.4
1986,,,,,,,,,,,
1986,,,,,,,,,,,
1986,,,,,,,,,,,
1986,14295.2,8089.3,4162.9,3926.4,6205.9,14238,4019.5,10218.5,1748.7,1258.4,490.2
1987,,,,,,,,,,,
1987,,,,,,,,,,,
1987,,,,,,,,,,,
1987,17173.8,9925.8,4711,5214.9,7248,17349,4720.8,12628.2,2261.4,1615.4,646
1988,,,,,,,,,,,
1988,,,,,,,,,,,
1988,,,,,,,,,,,
1988,21460.2,13232.1,6292.9,6939,8228.3,20407,5626.9,14780.3,2857.3,2089.4,767.8
1989,,,,,,,,,,,
1989,,,,,,,,,,,
1989,,,,,,,,,,,
1989,27470.5,17440.3,8138.9,9301.5,10030.3,23113.6,6560.8,16552.7,3594.3,2591.9,1002.4
1990,,,,,,,,,,,
1990,,,,,,,,,,,
1990,,,,,,,,,,,
1990,41355.1,27686.9,14757.2,12929.8,13668.2,28696.8,8630.6,20066.2,4822,3575.4,1246.7
1991,,,,,,,,,,,
1991,,,,,,,,,,,
1991,,,,,,,,,,,
1991,54503.4,35133.8,19563.2,15570.5,19369.7,34140.4,9931.3,24209.2,5835.5,4142.8,1692.6
1992,,,,,,,,,,,
1992,,,,,,,,,,,
1992,,,,,,,,,,,
1992,59534.5,36346,20147.7,16198.2,23188.4,36243.6,10956.4,25287.2,6932.8,4822.5,2110.2
1993,,,,,,,,,,,
1993,,,,,,,,,,,
1993,,,,,,,,,,,
1993,68270.5,43420.5,23303.1,20117.3,24849.9,38358.1,11549.5,26808.6,8155.4,5665.9,2489.7
1994,,,,,,,,,,,
1994,,,,,,,,,,,
1994,,,,,,,,,,,
1994,75806.6,47474.8,24514,22960.9,28331.8,49246.9,14496.1,34750.8,10550.5,7130.2,3420.2
1995,,,,,,,,,,,
1995,,,,,,,,,,,
1995,,,,,,,,,,,
1995,89639.6,57539.2,28785,28754.1,32100.6,58460.4,14427.6,44032.8,14100.9,9193.1,4907.8
1996,,,,,,,,,,,
1996,,,,,,,,,,,
1996,,,,,,,,,,,
1996,101510,61335.3,30947.9,30387.3,40174.7,66258.7,16686.5,49572.2,16288.9,10030.1,6259
1997,,,,,,,,,,,
1997,,,,,,,,,,,
1997,,,,,,,,,,,
1997,110545.1,64845.7,31322.7,33523.1,45699.4,63400.6,15197.9,48202.7,19266.5,11769,7497.5
1998,,,,,,,,,,,
1998,,,,,,,,,,,
1998,,,,,,,,,,,
1998,100694.4,55825.7,28282.5,27543.4,44868.6,44244.5,8982.3,35262.2,20347.6,11993.7,8353.9
1999,,,,,,,,,,,
1999,,,,,,,,,,,
1999,,,,,,,,,,,
1999,96430.1,48560.7,26538.1,22022.4,47869.4,58567.4,14419.6,44147.8,22396.6,12360.4,10036.3
2000,,,,,,,,,,,
2000,,,,,,,,,,,
2000,,,,,,,,,,,
2000,98542.4,50738.6,24556.9,26181.8,47803.8,80973.5,19208.4,61765.1,27379.1,14847.9,12531.3
2001,,,,,,,,,,,
2001,,,,,,,,,,,
2001,,,,,,,,,,,
2001,109574.2,58696.7,30158.5,28538.2,50877.4,75849,17677.2,58171.8,32003.3,18216.6,13786.7
2002,,,,,,,,,,,
2002,,,,,,,,,,,
2002,,,,,,,,,,,
2002,122272.3,71564.4,36217.7,35346.7,50707.7,80189.3,19904.8,60284.5,35939.1,19094.9,16844.3
2003,,,,,,,,,,,
2003,,,,,,,,,,,
2003,,,,,,,,,,,
2003,142287.6,86188,43135.9,43052.1,56099.7,80738.7,18260.9,62477.8,38770.4,21294.9,17475.4
2004,,,,,,,,,,,
2004,,,,,,,,,,,
2004,,,,,,,,,,,
2004,154735.3,94820,47406.8,47413.1,59915.3,83981.2,16590.9,67390.2,43189.4,24947.4,18242
2005,,,,,,,,,,,
2005,,,,,,,,,,,
2005,,,,,,,,,,,
2005,159489.8,97763.9,50728.4,47035.3,61726,86283.5,16943.2,69340.2,46026.7,26515.6,19511.2
2006,,,,,,,,,,,
2006,,,,,,,,,,,
2006,,,,,,,,,,,
2006,165669.6,101029.1,51074.9,49954.1,64640.5,91630.5,20324.9,71305.6,49342.4,28078.7,21263.7
2007,,,,,,,,,,,
2007,,,,,,,,,,,
2007,,,,,,,,,,,
2007,176238.8,105345.7,51530.9,53814.7,70893.2,97618.9,23105.2,74513.9,54713.8,31588.6,23125.1
2008,,,,,,,,,,,
2008,,,,,,,,,,,
2008,,,,,,,,,,,
2008,190824.6,111456.8,51260.9,60195.9,79367.8,106738.3,27681.5,79056.7,60196.6,36403.2,23793.5
2009,,,,,,,,,,,
2009,,,,,,,,,,,
2009,,,,,,,,,,,
2009,200956.1,110416.8,50948.8,59468.1,90539.1,106284.6,29265.2,77019.4,64815.2,41099.1,23716.1
2010,,,,,,,,,,,
2010,,,,,,,,,,,
2010,,,,,,,,,,,
2010,201422,113096.7,46182.5,66914.2,88325.4,126954.5,31486.9,95467.4,71409.5,46393.3,25016
2011,,,,,,,,,,,
2011,,,,,,,,,,,
2011,,,,,,,,,,,
2011,207696.9,118012.1,45300,72712.1,89684.7,134131.1,32394.3,101736.9,76996.8,51548.1,25448.7
2012,,,,,,,,,,,
2012,,,,,,,,,,,
2012,,,,,,,,,,,
2012,204661.5,118787.9,45584.5,73203.5,85873.6,136895.4,31502.9,105392.6,84056.8,57848.4,26208.5
2013,,,,,,,,,,,
2013,,,,,,,,,,,
2013,,,,,,,,,,,
2013,217822.6,132888.8,57150.2,75738.5,84934,128659.1,31841,96818.2,90146.2,62826.6,27319.4
2014,,,,,,,,,,,
2014,,,,,,,,,,,
2014,,,,,,,,,,,
2014,223930.4,143804.7,64961.7,78842.9,80125.7,133118.5,34039,99079.6,95541.1,67081.8,28459.3
2015,,,,,,,,,,,
2015,,,,,,,,,,,
2015,,,,,,,,,,,
2015,239801.2,157823.6,76807.9,81015.5,81977.7,142433.5,36437.8,105995.8,98767,68703.6,30063.4
2016,,,,,,,,,,,
2016,,,,,,,,,,,
2016,,,,,,,,,,,
2016,264604.8,185628.6,95396.5,90231.9,78976.2,149214.5,39156.9,110057.7,103530.6,72559.3,30971.4
2017,,,,,,,,,,,
2017,,,,,,,,,,,
2017,,,,,,,,,,,
2017,293390.2,215510.3,113527.1,101983.1,77880,172970.9,38900.3,134070.6,112095.7,78621.1,33474.5
2018,,,,,,,,,,,
2018,,,,,,,,,,,
2018,,,,,,,,,,,
2018,288497.3,210332.4,110881.5,99450.8,78165,168288.3,40456.5,127831.9,119801.6,85827.7,33973.9
2019,,,,,,,,,,,
2019,,,,,,,,,,,
2019,,,,,,,,,,,
2019,288987,203727.4,100390.6,103336.7,85259.6,160013.5,44268.1,115745.4,126070,89964.2,36105.9
