year,GDP: 2015p: sa: GFCF: Construction (CS),GDP: 2015p: sa: GFCF: CS: Buildings,GDP: 2015p: sa: GFCF: CS: Buildings: Residential Building,GDP: 2015p: sa: GFCF: CS: Buildings: Non Residential Building,GDP: 2015p: sa: GFCF: CS: Civil Engineering,GDP: 2015p: sa: GFCF: Facilities Investment (FI),GDP: 2015p: sa: GFCF: FI: Transport Equipment,GDP: 2015p: sa: GFCF: FI: Machinery & Equipment,GDP: 2015p: sa: GFCF: Intellectual Property Products (IPP),GDP: 2015p: sa: GFCF: IPP: Research & Experiemental Dev.,GDP: 2015p: sa: GFCF: IPP: Other IPP
1970,,,,,,,,,,,
1970,,,,,,,,,,,
1970,,,,,,,,,,,
1970,14542.1,9104.2,4563.2,4493.6,5499.3,2232,1382.4,1186.4,246.6,232.9,42.5
1971,,,,,,,,,,,
1971,,,,,,,,,,,
1971,,,,,,,,,,,
1971,14331,8588.7,4477.1,4045.5,5817.9,2766.9,1738.4,1455.5,262.6,237.5,47.2
1972,,,,,,,,,,,
1972,,,,,,,,,,,
1972,,,,,,,,,,,
1972,14059.7,7935.7,3795.3,4123.9,6205.2,3050.2,2032.4,1532.8,275.7,263,46.8
1973,,,,,,,,,,,
1973,,,,,,,,,,,
1973,,,,,,,,,,,
1973,18074.9,11449,5250.5,6205.2,6696,3728.9,2305.7,1983.9,353.3,329.2,61.4
1974,,,,,,,,,,,
1974,,,,,,,,,,,
1974,,,,,,,,,,,
1974,20509,14126.6,8176.2,5762.1,6427.3,4304.8,3331.4,1890.8,427.9,375.6,79.6
1975,,,,,,,,,,,
1975,,,,,,,,,,,
1975,,,,,,,,,,,
1975,22119.1,14380.4,8187.7,6018.1,7811.5,4851,3530.5,2261.9,546.2,498,96.6
1976,,,,,,,,,,,
1976,,,,,,,,,,,
1976,,,,,,,,,,,
1976,25107.3,16104.9,8474.7,7543.5,9086.5,7059.2,4538.5,3635.9,708,591.5,141.8
1977,,,,,,,,,,,
1977,,,,,,,,,,,
1977,,,,,,,,,,,
1977,31914.9,19565.3,10630,8775,12426.5,9739.4,4997.3,5745.7,1010.2,894.3,184.2
1978,,,,,,,,,,,
1978,,,,,,,,,,,
1978,,,,,,,,,,,
1978,40233.8,26861.9,14619.9,12018.2,13574.2,14182.2,6288.5,8910.4,1279,1165.5,220.9
1979,,,,,,,,,,,
1979,,,,,,,,,,,
1979,,,,,,,,,,,
1979,42219.7,26672.9,13369.3,13250.5,15657.5,16083.8,6239.3,10616.7,1578.7,1335.6,312.7
1980,,,,,,,,,,,
1980,,,,,,,,,,,
1980,,,,,,,,,,,
1980,40378.7,24431.1,12306.2,12067,15980.7,13013.4,6114.9,7972.2,1761,1391.9,392
1981,,,,,,,,,,,
1981,,,,,,,,,,,
1981,,,,,,,,,,,
1981,38276.1,20848.6,10162.4,10699,17240.5,13122.2,6523.2,7834.3,1937.8,1544.6,424.3
1982,,,,,,,,,,,
1982,,,,,,,,,,,
1982,,,,,,,,,,,
1982,45193.4,24653.5,12685.7,11862.8,20323,13471.1,6381.9,8241.4,2604,2303.2,443.9
1983,,,,,,,,,,,
1983,,,,,,,,,,,
1983,,,,,,,,,,,
1983,55243.7,32137.1,16656.6,15323.1,23009.2,14667.6,6883.1,9013,2880.7,2528,502.6
1984,,,,,,,,,,,
1984,,,,,,,,,,,
1984,,,,,,,,,,,
1984,59388.6,34056.7,15479.8,18731,25210.5,17011.4,7907,10502.1,3620.9,3117,667.2
1985,,,,,,,,,,,
1985,,,,,,,,,,,
1985,,,,,,,,,,,
1985,62100.1,33281.4,15603.2,17771.5,28623.7,18038.8,8433.5,11103.5,4763.1,3877.3,1013.3
1986,,,,,,,,,,,
1986,,,,,,,,,,,
1986,,,,,,,,,,,
1986,64563.6,37143.1,18245.2,18909.7,27285.3,22679.1,9794.4,14488.7,6052.3,4929.3,1285.9
1987,,,,,,,,,,,
1987,,,,,,,,,,,
1987,,,,,,,,,,,
1987,75513.5,44221.4,20148.2,24242.7,31167.2,27069,10824,17797.4,7444.8,5990.1,1630.8
1988,,,,,,,,,,,
1988,,,,,,,,,,,
1988,,,,,,,,,,,
1988,86025.4,53771.4,24691.4,29269.5,32229.8,30771.8,11888.3,20487.7,8771.9,7136.1,1868.2
1989,,,,,,,,,,,
1989,,,,,,,,,,,
1989,,,,,,,,,,,
1989,100533,65322.8,29601,35981.9,35271.4,35476,12903.1,24146.3,10213.6,8020.6,2380.7
1990,,,,,,,,,,,
1990,,,,,,,,,,,
1990,,,,,,,,,,,
1990,130673.1,90025.2,47141.9,42837.7,41040.6,42312.6,16084,28284.7,12049.4,9548.5,2742.5
1991,,,,,,,,,,,
1991,,,,,,,,,,,
1991,,,,,,,,,,,
1991,148298,97297.8,52900.4,44275.6,51073.2,49108.2,18310.8,33096.6,13397.7,9991.7,3564.3
1992,,,,,,,,,,,
1992,,,,,,,,,,,
1992,,,,,,,,,,,
1992,148753,91760,49865.4,41781,56786.7,51012.9,20740.4,33105.7,15114.5,10880.2,4363.1
1993,,,,,,,,,,,
1993,,,,,,,,,,,
1993,,,,,,,,,,,
1993,166472.6,106421,56425.5,49922.9,59932.5,51510.4,21267.9,33203.6,17078.6,12078.2,5128
1994,,,,,,,,,,,
1994,,,,,,,,,,,
1994,,,,,,,,,,,
1994,176397.5,110116.6,56518.3,53569.8,66112.3,65640.4,28712.7,41228.3,20313.4,13961.7,6489.8
1995,,,,,,,,,,,
1995,,,,,,,,,,,
1995,,,,,,,,,,,
1995,193490.3,123615.7,62151.6,61447.7,69672.7,76132.3,28114.5,50925.4,24885.9,17033.6,8019.2
1996,,,,,,,,,,,
1996,,,,,,,,,,,
1996,,,,,,,,,,,
1996,207627.1,124994.8,63842.9,61145.4,82494.3,83950.4,30718.5,56322.9,27255.2,17586.1,9725.6
1997,,,,,,,,,,,
1997,,,,,,,,,,,
1997,,,,,,,,,,,
1997,212865.7,124217,61060.9,63090.8,88536.9,77213.2,26521,52872,30269.8,19599.5,10740.9
1998,,,,,,,,,,,
1998,,,,,,,,,,,
1998,,,,,,,,,,,
1998,184665.9,101627.8,52547.2,49116.8,83011,47396.4,14112.6,33817.1,29398.8,18108,11229.6
1999,,,,,,,,,,,
1999,,,,,,,,,,,
1999,,,,,,,,,,,
1999,178651.4,88686.5,49839.8,39038.6,90095.6,64228.7,21771.6,44211.1,33533.4,19022.2,14262.6
2000,,,,,,,,,,,
2000,,,,,,,,,,,
2000,,,,,,,,,,,
2000,178616.5,90759.9,45382.4,45258.3,87923.3,86585.1,26936.3,61200.3,40187.6,22462.6,17401.2
2001,,,,,,,,,,,
2001,,,,,,,,,,,
2001,,,,,,,,,,,
2001,190193.6,101146,52107.1,49005.1,88991.4,80622.5,22273.7,58969.8,45721.1,26608.1,18831.2
2002,,,,,,,,,,,
2002,,,,,,,,,,,
2002,,,,,,,,,,,
2002,202417.5,117577,59482.4,58048.5,84631.4,87293.2,23293.1,64511.5,49813,27277.5,22117.4
2003,,,,,,,,,,,
2003,,,,,,,,,,,
2003,,,,,,,,,,,
2003,220224.8,132560.5,66590.6,65917.9,87363.4,87655.5,20758.1,67185.8,52012.8,29458.8,22196.3
2004,,,,,,,,,,,
2004,,,,,,,,,,,
2004,,,,,,,,,,,
2004,223707.9,136296.2,68697.9,67546.8,87085.4,89927.7,19020.7,71079.8,55977.7,33181.7,22532.2
2005,,,,,,,,,,,
2005,,,,,,,,,,,
2005,,,,,,,,,,,
2005,223611.1,134712.2,70183.7,64516.3,88589.6,93062.1,18976,74208.4,57696.6,34272.9,23156.8
2006,,,,,,,,,,,
2006,,,,,,,,,,,
2006,,,,,,,,,,,
2006,225219.3,135857.4,68600.3,67225.9,89043.1,101441.5,22280.7,79365.1,61049.5,35665.2,25053
2007,,,,,,,,,,,
2007,,,,,,,,,,,
2007,,,,,,,,,,,
2007,228603.9,135761.4,66156,69579,92571,111522.4,26678.1,85035.3,65888.7,39070.5,26502.3
2008,,,,,,,,,,,
2008,,,,,,,,,,,
2008,,,,,,,,,,,
2008,222418.8,129803.4,59910.1,69891.9,92381.4,111275.8,28566.5,82922.7,69456.3,42882.8,26365
2009,,,,,,,,,,,
2009,,,,,,,,,,,
2009,,,,,,,,,,,
2009,230328.8,126549.5,58441.9,68106.4,103532.7,102216.3,29261.7,73101,73360.1,47089.2,26157.5
2010,,,,,,,,,,,
2010,,,,,,,,,,,
2010,,,,,,,,,,,
2010,221918.4,124983.4,51411.9,73560.1,96704.5,125912,31521.5,94341.2,77999,51330.5,26595.3
2011,,,,,,,,,,,
2011,,,,,,,,,,,
2011,,,,,,,,,,,
2011,215682.4,123040.7,47680.6,75312.5,92432.1,132898.3,32726.4,100112.8,82259,55636.2,26604
2012,,,,,,,,,,,
2012,,,,,,,,,,,
2012,,,,,,,,,,,
2012,208120.4,121373.3,46787.8,74534.7,86575.1,134262.7,31828.6,102342.4,87971,60522.2,27461.2
2013,,,,,,,,,,,
2013,,,,,,,,,,,
2013,,,,,,,,,,,
2013,221202.4,135499.6,58281.2,77209.8,85606.7,128966,32455.9,96495.4,92694,64057.9,28648.7
2014,,,,,,,,,,,
2014,,,,,,,,,,,
2014,,,,,,,,,,,
2014,224275.7,144296.3,65236.8,79051.7,79961.4,135481.1,34971.1,100513.9,96843,67495,29344.8
2015,,,,,,,,,,,
2015,,,,,,,,,,,
2015,,,,,,,,,,,
2015,239801.2,157823.6,76808,81015.5,81977.6,142433.4,36437.7,105995.7,98767.1,68703.6,30063.4
2016,,,,,,,,,,,
2016,,,,,,,,,,,
2016,,,,,,,,,,,
2016,263724.5,184566,94797.5,89768.3,79158.8,146179.1,38680.8,107498.3,102730.8,71967.1,30763.7
2017,,,,,,,,,,,
2017,,,,,,,,,,,
2017,,,,,,,,,,,
2017,282925.2,207429.6,109336.9,98089.4,75419.4,170275.4,37963,132232.8,109421.3,76444.3,32977.1
2018,,,,,,,,,,,
2018,,,,,,,,,,,
2018,,,,,,,,,,,
2018,269786.9,196314.5,103573,92738.5,73408.7,166289.3,39463.7,126722.4,114241.6,81105.8,33119
2019,,,,,,,,,,,
2019,,,,,,,,,,,
2019,,,,,,,,,,,
2019,262923,185226.6,91268.8,93944,77672.3,153854.6,41539.5,112138,117698.8,82952.7,34748
2020,,,,,,,,,,,
