,GDP: 2015p: GCF: Gross Fixed Capital Formation (GFCF)
Region,South Korea
Subnational,
Frequency,"Annual, ending ""Dec"" of each year"
Unit,KRW bn
Source,The Bank of Korea
Status,Active
Series ID,401451387 (KAZAJKBAAAARFD)
SR Code,SR126742517
Mnemonic,
Function Description,
First Obs. Date,1953
Last Obs. Date,2019
Last Update Time,02/06/2020
Series remarks,
Suggestions,
Mean,180945.20597014925
Variance,33604788236.858753
Standard Deviation,183316.0883197619
Skewness,0.5817746618377383
Kurtosis,-1.148286570301537
Coefficient Variation,1.0131027641041994
Min,765.6
Max,562777
Median,89844.8
No. of Obs,67
1953,765.6
1954,976.6
1955,1155.9
1956,1240.2
1957,1495.5
1958,1454.3
1959,1587.1
1960,1694.8
1961,1808.8
1962,2343.4
1963,2939.4
1964,2756.9
1965,3552.5
1966,5601.6
1967,7068.3
1968,9897.4
1969,12449.5
1970,13526
1971,14372.4
1972,14743
1973,18590.3
1974,21276.1
1975,23465.9
1976,29927.5
1977,39646
1978,53598.7
1979,58685.5
1980,52178.7
1981,51058.4
1982,57015.7
1983,66203.7
1984,73897
1985,78579.9
1986,89844.8
1987,106408.8
1988,121355.8
1989,140915.2
1990,175601.5
1991,200757.6
1992,205515.6
1993,222215.6
1994,253456
1995,286337.1
1996,310866.4
1997,309254.1
1998,245739.6
1999,268479.3
2000,306030.1
2001,312805.7
2002,336087.1
2003,353958
2004,363826.1
2005,369229
2006,383895.6
2007,403309
2008,400827.3
2009,402485.4
2010,425635.1
2011,431260.7
2012,430686.1
2013,442805.6
2014,456558.4
2015,481001.7
2016,512634.6
2017,562777
2018,550387.1
2019,534829.2
