,KR: Share of Labour Input Costs in Total Costs: Annual Share in %
Region,South Korea
Subnational,
Frequency,"Annual, ending ""Dec"" of each year"
Unit,%
Source,Organisation for Economic Co-operation and Development
Status,Active
Series ID,295751702
SR Code,SR5146846
Mnemonic,
Function Description,
First Obs. Date,1985
Last Obs. Date,2018
Last Update Time,30/06/2020
Series remarks,
Suggestions,
Mean,75.55975358823528
Variance,31.68377748454134
Standard Deviation,5.628834469456474
Skewness,-0.07183469202661398
Kurtosis,-1.3224971397524274
Coefficient Variation,0.07449514062910984
Min,66.623343
Max,83.496477
Median,74.697851
No. of Obs,34
1985,83.496477
1986,83.034246
1987,82.954886
1988,83.247132
1989,82.414125
1990,82.864511
1991,82.374665
1992,80.785325
1993,80.138407
1994,80.119851
1995,80.851744
1996,80.865621
1997,79.48125
1998,76.245178
1999,74.502265
2000,75.06958
2001,74.893437
2002,75.283242
2003,74.217086
2004,73.403779
2005,72.992048
2006,74.346085
2007,74.453301
2008,74.324375
2009,72.314223
2010,71.46945
2011,68.636889
2012,67.513821
2013,67.010995
2014,66.623343
2015,67.500253
2016,68.378186
2017,68.567149
2018,68.658697
