Industry,Education,Sex,Age,Item,UNIT,2002 Year,2003 Year,2004 Year,2005 Year,2006 Year,2007 Year,2008 Year
1,Under middle shcool,Male,19 years old and less,Total hours worked,Hours,,,,,252,,-
1,Under middle shcool,Male,19 years old and less,Monthly Total wage,Won,,,,,1498000,,-
1,Under middle shcool,Male,19 years old and less,Employment,Persons,,,,,2,,-
1,Under middle shcool,Male,20 ~ 24,Total hours worked,Hours,208,,,225,208,220,162
1,Under middle shcool,Male,20 ~ 24,Monthly Total wage,Won,792000,,,1540000,2196000,869361,852000
1,Under middle shcool,Male,20 ~ 24,Employment,Persons,5,,,1,2,2,3
1,Under middle shcool,Male,25 ~ 29,Total hours worked,Hours,224,,,196.8,140.3,248,162.8
1,Under middle shcool,Male,25 ~ 29,Monthly Total wage,Won,1039590,,,921600,1984000,1025460,1207296
1,Under middle shcool,Male,25 ~ 29,Employment,Persons,25,,,5,8,6,11
1,Under middle shcool,Male,30 ~ 34,Total hours worked,Hours,197,262,,195.6,185.5,185.3,161.7
1,Under middle shcool,Male,30 ~ 34,Monthly Total wage,Won,1144688,1435000,,1509333,1797750,1462845,1272948
1,Under middle shcool,Male,30 ~ 34,Employment,Persons,8,4,,9,16,4,26
1,Under middle shcool,Male,35 ~ 39,Total hours worked,Hours,,,300,230.8,180.4,211.2,166.4
1,Under middle shcool,Male,35 ~ 39,Monthly Total wage,Won,,,2087000,1463154,1646571,603684,1471605
1,Under middle shcool,Male,35 ~ 39,Employment,Persons,,,10,13,28,5,29
1,Under middle shcool,Male,40 ~ 44,Total hours worked,Hours,199.1,262,224,199.8,182.4,209.9,172.4
1,Under middle shcool,Male,40 ~ 44,Monthly Total wage,Won,1464964,936000,1202000,1492976,1860167,1556881,1693032
1,Under middle shcool,Male,40 ~ 44,Employment,Persons,28,4,6,83,60,24,84
1,Under middle shcool,Male,45 ~ 49,Total hours worked,Hours,198.1,197.4,208,202.3,183.5,200.9,171.9
1,Under middle shcool,Male,45 ~ 49,Monthly Total wage,Won,1336422,1923750,1491500,1608056,1670774,1706653,1943670
1,Under middle shcool,Male,45 ~ 49,Employment,Persons,40,32,12,54,106,57,100
1,Under middle shcool,Male,50 ~ 54,Total hours worked,Hours,211,,224,200.3,182.3,196,169.7
1,Under middle shcool,Male,50 ~ 54,Monthly Total wage,Won,1352600,,1076000,1817972,1723500,1575734,1923005
1,Under middle shcool,Male,50 ~ 54,Employment,Persons,15,,6,143,124,77,182
1,Under middle shcool,Male,55 ~ 59,Total hours worked,Hours,207.3,200,,198.3,187.4,195.9,175.4
1,Under middle shcool,Male,55 ~ 59,Monthly Total wage,Won,1376100,1498500,,1754959,1652441,1635613,1882387
1,Under middle shcool,Male,55 ~ 59,Employment,Persons,9,8,,148,170,84,135
