"INDUSTRY_9S","Education","Sex","Age","Item","UNIT","2009 Year","2010 Year","2011 Year","2012 Year","2013 Year","2014 Year","2015 Year","2016 Year","2017 Year","2018 Year","2019 Year",
"Agriculture, forestry and fishing","Under middle shcool","Male","19 years old and less","Hours worked","Hours","208","185.7","-","-","-","164.5","-","-","168","192","-",
"Agriculture, forestry and fishing","Under middle shcool","Male","19 years old and less","Total monthly wage (including monthly special payment)","In Thousand Won","1306","1127","-","-","-","686","-","-","1500","2184","-",
"Agriculture, forestry and fishing","Under middle shcool","Male","19 years old and less","Employment","Persons","2","4","-","-","-","17","-","-","3","6","-",
"Agriculture, forestry and fishing","Under middle shcool","Male","20 ~ 24","Hours worked","Hours","201.9","118.8","193.3","190.9","209.3","189.9","192.2","231.7","215.5","203.2","202.7",
"Agriculture, forestry and fishing","Under middle shcool","Male","20 ~ 24","Total monthly wage (including monthly special payment)","In Thousand Won","900","799","1040","1174","1367","1215","1403","1625","1720","1809","1972",
"Agriculture, forestry and fishing","Under middle shcool","Male","20 ~ 24","Employment","Persons","9","67","38","61","38","122","154","32","93","166","142",
"Agriculture, forestry and fishing","Under middle shcool","Male","25 ~ 29","Hours worked","Hours","198.3","119.5","175.6","188.5","186.3","195.4","196.3","233.7","212.5","205.2","200.8",
"Agriculture, forestry and fishing","Under middle shcool","Male","25 ~ 29","Total monthly wage (including monthly special payment)","In Thousand Won","1154","912","1083","1265","1361","1335","1280","1677","1875","1855","2020",
"Agriculture, forestry and fishing","Under middle shcool","Male","25 ~ 29","Employment","Persons","29","48","89","68","39","113","125","88","158","205","181",
"Agriculture, forestry and fishing","Under middle shcool","Male","30 ~ 34","Hours worked","Hours","208.3","194.4","149","183.4","202.9","199.3","196.4","218.1","216.6","204.4","198.3",
"Agriculture, forestry and fishing","Under middle shcool","Male","30 ~ 34","Total monthly wage (including monthly special payment)","In Thousand Won","1106","1288","1146","1451","1695","1417","1266","2295","1844","1885","1980",
"Agriculture, forestry and fishing","Under middle shcool","Male","30 ~ 34","Employment","Persons","34","38","77","70","33","119","78","58","135","164","103",
"Agriculture, forestry and fishing","Under middle shcool","Male","35 ~ 39","Hours worked","Hours","190.1","191.8","160.5","182.3","176.9","189.7","198.5","228.2","202.1","200.8","208.4",
"Agriculture, forestry and fishing","Under middle shcool","Male","35 ~ 39","Total monthly wage (including monthly special payment)","In Thousand Won","1493","1638","1299","1834","2054","1560","1492","1630","1814","2012","2262",
