"Job","Education","Sex","Age",2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007,2008,2008,2008,2008
"Job","Education","Sex","Age",Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons),Total hours worked (Hours),Monthly Total wage (Won),Annual special payments (Won),Employment (Persons)
"All occupations","Total","Total","Total",208.1,1313910,3952258,5735072,204.9,1393059,4263195,6150915,201.8,1532750,4171662,6437680,201.8,1651100,4641526,6379547,209.5,1750421,5098039,6450563,201.4,1887507,5340730,6584715,198.0,2014265,5540260,6750196,191.5,2127430,5395680,6929525,188.7,2258684,5561367,7240948
"All occupations","Total","Male","Total",211.4,1473789,4575447,3970067,207.9,1558940,4925084,4274501,204.3,1716024,4846331,4482867,204.7,1850106,5433717,4406036,212.1,1957976,5961127,4457390,204.3,2108732,6249807,4540948,200.3,2249024,6492874,4644026,194.0,2380637,6463237,4733555,191.6,2527490,6652747,4940584
"All occupations","Total","Female","Total",200.5,954292,2550504,1765005,198.3,1015178,2755402,1876414,195.9,1112457,2624479,1954813,195.2,1206802,2872892,1973511,203.5,1286258,3167892,1993173,194.8,1395979,3320896,2043767,192.8,1496631,3439782,2106170,186.2,1581625,3094492,2195970,182.6,1681358,3217365,2300364
"All occupations","Under middle shcool","Total","Total",226.1,1041664,2639451,873163,226.7,1086595,2765367,826032,227.7,1159521,2612467,755342,228.1,1225664,2971461,726805,232.7,1257875,3216399,679141,226.0,1383553,3388375,589716,220.4,1463484,3622181,518938,214.8,1584477,4036525,487208,211.6,1614183,3674053,457974
"All occupations","Under middle shcool","Male","Total",233.2,1216952,3334452,541609,234.5,1259049,3490895,510193,236.3,1371733,3270334,446871,238.8,1437150,3709706,435421,242.2,1472976,4118729,399830,237.2,1603442,4254756,363130,228.5,1705537,4654761,310648,223.1,1818257,5205354,311509,219.8,1880464,4898204,283274
"All occupations","Under middle shcool","Female","Total",214.5,755323,1504134,331554,214.2,808020,1593381,315839,215.3,852098,1659440,308471,212.3,909638,1868286,291384,219.0,949959,1924726,279311,208.0,1031156,1999901,226586,208.3,1102480,2082169,208290,200.1,1169993,1964228,175699,198.4,1182410,1689095,174699
"All occupations","High shcool","Total","Total",213.2,1185870,3302560,2717975,210.8,1243649,3638486,2883467,211.2,1362881,3555368,2867866,210.2,1455716,3962225,2801334,218.0,1541551,4405249,2860724,212.1,1618091,4458618,2840736,208.7,1731274,4689567,2813433,204.6,1779570,4634120,2802066,201.5,1894338,4858428,2913607
"All occupations","High shcool","Male","Total",218.9,1327986,3705536,1843658,216.2,1392434,4072100,1954168,216.1,1513650,4004246,1981980,215.4,1619708,4484081,1921374,222.8,1708569,5004502,1965733,217.0,1798262,5113177,1927334,212.8,1918205,5374687,1935245,209.1,1968688,5433888,1900571,206.2,2098353,5739114,1996181
