,KR: Hours Worked: Total
Region,South Korea
Subnational,
Frequency,"Annual, ending ""Dec"" of each year"
Unit,Hour
Source,Organisation for Economic Co-operation and Development
Status,Active
Series ID,293679202
SR Code,SR5145878
Mnemonic,
Function Description,
First Obs. Date,1970
Last Obs. Date,2018
Last Update Time,19/02/2020
Series remarks,
Suggestions,
Mean,46980.325053244895
Variance,65967566.92581704
Standard Deviation,8122.042041618416
Skewness,-0.9552906915159444
Kurtosis,-0.3724640473712495
Coefficient Variation,0.17288177619915024
Min,28097.70687
Max,54940.6534
Median,50527.1295
No. of Obs,49
1970,28097.70687
1971,29000.774229
1972,30202.501944
1973,31777.477944
1974,33102.273097
1975,33817.019014
1976,35830.317853
1977,36911.625973
1978,38562.608409
1979,39031.629322
1980,39183.059537
1981,40381.033064
1982,41593.083776
1983,42218.611117
1984,41939.695082
1985,43137.977569
1986,45129.235806
1987,47093.447531
1988,47800.582349
1989,47950.17706
1990,48407.303116
1991,49549.413846
1992,50094.955501
1993,51017.8375
1994,52351.4385
1995,53995.6417
1996,54940.6534
1997,54716.8416
1998,49518.5786
1999,50527.1295
2000,53038.8233
2001,53804.5577
2002,54378.0688
2003,53602.1329
2004,53946.0272
2005,53742.2184
2006,54310.2508
2007,54040.4592
2008,52699.9516
2009,51341.961
2010,51752.5499
2011,52151.183
2012,52661.2326
2013,53134.562
2014,53615.2916
2015,54378.7556
2016,54464.3892
2017,53782.8928
2018,53309.9892
