Year,wdlnH
1994,0.005217416425575579
1995,0.07493661564945255
1996,-0.001863446444019378
1997,0.006877818851025869
1998,-0.07020548858253543
1999,0.17464830931572078
2001,0.07673673047823738
2002,0.04570726667158972
2003,0.004662058363350137
2004,0.0609132731456214
2005,0.003042542819264227
2006,0.02872200184473641
2007,0.00726281376544326
2008,0.03831607826997333
2010,0.06280392544217932
2011,0.10395694394958986
2012,0.08617919472465774
2013,0.051439711083799716
2014,0.1041076002162905
2015,0.04611076095227462
2016,0.08484057671692641
2017,0.04435909415778108
2018,0.05978721351278422
2019,0.06541613519356097
