Year,wdlnw
1994,0.0026655993506862893
1995,0.031186087437847555
1996,0.10043147261586974
1997,0.02690898436094691
1998,-0.05406525347594731
1999,0.021358562561683826
2001,0.021210808353106767
2002,0.09292301481352556
2003,0.036137265180850475
2004,-0.03377224865530009
2005,0.10096404356514317
2006,0.04948416782584087
2007,0.04762523610819682
2008,0.047394529774574624
2010,-0.053141929712903685
2011,-0.07521132104628613
2012,-0.057331431263293944
2013,-0.08258953811438167
2014,-0.031122154892369164
2015,0.002924631286949274
2016,-0.05840855046372347
2017,-0.06506316424005217
2018,-0.12223444842241163
2019,-0.043408913529032214
